Language,English,German,Spanish,Russian
STR_MAIN_COMPLETED_5,"Finally, it is easier to live without ZombiVision...","Schließlich ist es einfacher zu Leben, ohne ZombiVision...","Finalmente, se hizo más fácil vivir sin zombis...","Наконец-то, стало легче жить без зомбоящиков..."
STR_MAIN_COMPLETED_6,"Broke this, next may be Ostankino TV tower...","Gebrochen zu haben, diese dann in der Zukunft brechen und Ostankino Fernsehturm...","Arranqué este, arranques y ostankinskaya... la próxima vez","Заломал эту, заломаешь и Останкинскую... в следующий раз"
STR_MAIN_COMPLETED_BY_YOU,by You,Durch Sie,Vosotros,Вами
STR_MAIN_COMPLETED_BY_UNKNOWN,by unknown hero,durch einen unbekannten Helden,héroe desconocido,неизвестным героем
STR_SEC_COMPLETED_BY_YOU,with your help,mit Ihrer Hilfe,con Su ayuda,с Вашей помощью

STR_SYS_300,"You are too far away from the selected region (%1 m), the required distance <= %2 m",Sie sind zu weit von der gewählten Bereich (%1 m) muss der Abstand <= %2 m,"Estás demasiado lejos del área seleccionada (%1 m), se requiere una distancia < = %2 m.","Вы слишком далеко от выбранной области (%1 м.), требуется дистанция <= %2 м."
STR_SYS_301,The first artillery battery unavailable...,Die erste Artillerie-Batterie ist nicht verfügbar...,Primera Art.la batería no está disponible...,Первая арт.батарея недоступна...
STR_SYS_302,The second artillery battery unavailable...,Die zweite Artillerie-Batterie ist nicht verfügbar...,Segundo Art.la batería no está disponible...,Вторая арт.батарея недоступна...
STR_SYS_303,You don't have enough points to call artillery. Required: %1. You have: %2,Haben Sie nicht genug Punkte für den Aufruf der Artillerie... Erforderlich: %1. Jetzt haben Sie: %2,No tienes suficientes puntos para llamar a la artillería... Requiere %1. Ahora tienes: %2,У вас недостаточно очков для вызова артилерии... Требуется %1. Сейчас у вас: %2
STR_SYS_304,!!!!!!!!!!!! Need a map !!!!!!!!!!!,!!!!!!!!!!!! Eine Karte !!!!!!!!!!!,!!!!!!!!!!!! ¡Necesito un mapa !!!!!!!!!!!,!!!!!!!!!!!! Нужна карта !!!!!!!!!!!
STR_SYS_305,The first artillery battery is inaccessible because it is being used by someone else...,"Die erste Artillerie-Batterie ist nicht verfügbar, da von jemand anderem verwendet wird...",Primera Art.la batería no está disponible porque es utilizada por otra persona......,"Первая арт.батарея недоступна, т.к. используется кем-то другим......"
STR_SYS_306,The second artillery battery is inaccessible because it is being used by someone else...,"Die zweite Artillerie-Batterie ist nicht verfügbar, da von jemand anderem verwendet wird...",Segundo Art.la batería no está disponible porque es utilizada por otra persona......,"Вторая арт.батарея недоступна, т.к. используется кем-то другим......"
STR_SYS_307,In the affected area of art.battery your colleagues are detected!!! The request cancelled...,In den betroffenen Bereich Art.Batterie vorhanden ist Ihre Mitstreiter!!! Die Abfrage abgebrochen...,En el área de trabajo Art.las baterías están presentes sus compañeros!!! Solicitud cancelada...,В зоне работы арт.батареи присутствует ваши соратники!!! Запрос отменен...
STR_SYS_308,"Requesting artillery strike (%1) by shells, %2 volley at the following coordinates: %3 to %4.",Verlange die Artillerie-Schlag (%1) geschossen %2 Salve(Salven) für die folgenden Koordinaten: %3 - %4.,"Solicito Art.golpe (%1) con proyectiles, %2 con voleas(voleas) en las siguientes coordenadas: %3 - %4.","Запрашиваю арт.удар (%1) снарядами, %2 залпом(залпами) по следующим координатам: %3 - %4."
STR_SYS_309,on base.,auf der Basis.,en la base.,на базе.
STR_SYS_309_1,near last side mission.,bei der letzten Nebenmission.,cerca de la última misión secundaria.,близ последней сторонней миссии
STR_SYS_310,"Priority goal: TV-tower. Order: destroy it, denying enemy access to Hollywood movies.","Vorrangiges Ziel: der Fernsehturm. Der Befehl lautet: Zerstören Sie es, indem Sie dem Feind den Zugang zum Internet und zu Zombie-Fernsehern verwehren.","Objetivo prioritario: la torre de televisión. Órdenes: Destruirlo negando al enemigo el acceso a internet y a las televisiones zombis.","Приоритетная цель: телебашня. Приказ: уничтожить её, лишив врага доступа к Интернет и зомбоящикам."
STR_SYS_311,TV-tower destroyed... %1,Fernsehturm zerstört... %1,La torre de televisión ha sido destruida... %1,Телебашня уничтожена... %1

STR_SYS_312,On the East Side Bagango two antenna are detected. One is used by the enemy for military data transfer. Your task: destroy correct radio antenna.,"Auf der Ostseite Bagango zwei Antennen erkannt werden. Man wird verwendet, um die feindlichen für militärische Daten übertragen. Ihre Aufgabe: Zerstöre richtige radio Antenne",Al este de Bagango hay dos mástiles de Radio. Uno de ellos es utilizado por el enemigo para transmitir datos. Su tarea: destruir el mástil de Radio deseado.,На востоке от Bagango расположены две радиомачты. Одна из них используется врагом для передачи данных. Ваша задача: уничтожить нужную радиомачту.
STR_SYS_313,Good job! Radio antenna destroyed.,Auftrag ausgeführt! Radio Antenne zerstört.,¡Misión cumplida! Радиомачта destruida.,Задание выполнено! Радиомачта уничтожена.
STR_SYS_314,"There is a radio tower in a farm west of Bagango (south from Carmen). This is one of the many radio towers that the enemy uses to communicate with its troops. Simple task, destroy it.","Es ist ein Funkturm in einer farm westlich von Bagango. Dies ist einer der vielen Radiosendern, dass der Feind verwendet, um die Kommunikation mit seinen Truppen. Einfache Aufgabe, es zu zerstören.","En la granja al oeste de Bagango, y al sur de Carmen, se encuentra la torre de Radio. El enemigo la usa para comunicarse con las fuerzas colaboracionistas. Destruidla.","На ферме к западу от Bagango, и к югу от Carmen, находится радиовышка. Враг использует ее для связи с силами коллаборационистов. Уничтожьте ее."

STR_SYS_316_1,All artillery guns are down. No artillery observers will appear now. But they can appear later,Alle Artilleriegeschütze sind unten. Keine artilleriebeobachter werden jetzt erscheinen. Aber Sie können später wieder auftauchen,Todas las piezas de artillería destruidas. ¡Los observadores han desaparecido! ¡Pero pueden volver!,Все артиллерийские орудия уничтожены. Корректировщики исчезли! Но они могут вернуться!
STR_SYS_317,Radiotower,Funkturm,Telemachta,Телемачта
STR_SYS_318,"There is a transformer station in Tlaloc. The enemy uses it to for some experiments in a laboratory in Carmen. Simple task, destroy it.","Es ist eine Trafo-station im Tlaloc. Der Feind verwendet es für einige Experimente in einem Labor in Carmen. Einfache Aufgabe, es zu zerstören.","Según la inteligencia, en algún lugar de la región se encuentra un laboratorio científico secreto enemigo. La tarea fue destruir la subestación transformadora en Tlaloc, saboteando así el trabajo del laboratorio.","По данным разведки, где-то в р-не Carmen расположена вражеская секретная научная лаборатория. Ваша задача уничтожить трансформаторную подстанцию в Tlaloc, тем самым саботировать работу лаборатории."
STR_SYS_318_1,Good job. The transformer station is down.,Gute Arbeit. Die Trafo-station ist ausgefallen.,¡Misión cumplida! La subestación del transformador ha sido destruida.,Задание выполнено! Трансформаторная подстанция уничтожена.

STR_SYS_320,"Says the first art.battery. Roger, over.","Sagt die erste Art.die Batterie. Sie verstanden habe, ist der Empfang.","Habla el primer Art.batería. Recibido, cambio.","Говорит первая арт.батарея. Вас понял, прием."
STR_SYS_321,"Says the second art.battery. Roger, over.","Sagt die zweite Art.die Batterie. Sie verstanden habe, ist der Empfang.","Habla el segundo Art.batería. Recibido, cambio.","Говорит вторая арт.батарея. Вас понял, прием."
STR_SYS_322,"Says the first art.battery. Charging %1. Roger, over.","Sagt die erste Art.Batterie, lädt %1. Die Aufnahme.","Habla el primer Art.batería, carga %1. Recepción.","Говорит первая арт.батарея, заряжаем %1. Прием."
STR_SYS_323,"Says the second art.battery. Charging %1. Roger, over.","Sagt die zweite Art.Batterie, lädt %1. Die Aufnahme.","Habla el segundo Art.batería, carga %1. Recepción.","Говорит вторая арт.батарея, заряжаем %1. Прием."
STR_SYS_324,"Welcome on board, %1","Willkommen an Bord, %1","Bienvenido a bordo, %1","Добро пожаловать на борт, %1"
STR_SYS_324_0,Type: %1,Typ: %1,Tipo: %1,Тип: %1
STR_SYS_324_1,Speed: %1 km/h,Geschwindigkeit: %1 km/h,Velocidad: %1 km/h,Скорость: %1 км/ч
STR_SYS_324_2,Fuel: %1,Kraftstoff: %1,Combustible: %1,Топливо: %1
STR_SYS_324_3,Damage: %1,Störungen: %1,Daños: %1,Повреждения: %1
STR_SYS_324_4,Dir: %1 (%2),Richtung: %1 (%2),Por ejemplo: %1 (%2),Напр: %1 (%2)

STR_SYS_325,"This is a mobile respawn vehicle. You can drop an ammocrate, use it to respawn or teleport or create a vehicle.","Dies ist eine mobile respawn Fahrzeug. Drop können Sie eine ammocrate, es verwenden, um respawn oder teleport oder erstellen Sie ein Fahrzeug.","Es KSHM. Se utiliza para transportar cajas de suministros, revivir después de la muerte, teletransportar y descargar maquinaria.","Это КШМ. Используется для перевозки ящиков снабжения, возрождения после смерти, телепортирования и выгрузки техники."
STR_SYS_326,This is an engineer salvage truck. You can load static weapons and unload them.,Dies ist ein Ingenieur-Bergung von LKW. Laden Sie statische Waffen-und entladen.,Es un camión de ingeniería. Puede cargar/descargar maquinaria de máquina en ella,Это инженерный грузовик. Вы можете загружать/выгружать в него станковую технику
STR_SYS_329,%2: unload requires rank %1.,%2: entfernen Sie erfordert Rang %1.,%2: la descarga requiere el título %1.,%2: для выгрузки требуется звание %1.
STR_SYS_329_1,Vehicles for unloading not provided.,"Fahrzeuge, für das entladen nicht zur Verfügung.",No se proporcionan dispositivos de descarga,Устройства для выгрузки не предусмотрены
STR_SYS_330,"You cannot unload %1, while in other vehicle...","Sie können nicht entladen %1, während das Fahrzeug...",No se puede descargar %1 mientras está en el vehículo...,"Нельзя выгрузить %1, находяcь в транспортном средстве..."
